Day,RM,BasoPCNT,EosinoPCNT,LymphoPCNT,MonoPCNT,NeutroPCNT
0,RM11,0.3,1.8,40.5,3.4,54
14,RM11,0.2,1.6,34.599998,3.3,60.299999
98,RM11,0.4,1.2,50.400002,4.7,43.299999
101,RM11,0.3,1.3,41.5,5.8,51.099998
105,RM11,0.4,1.1,50.299999,4.7,43.5
112,RM11,0.3,1,53.299999,5.3,40.099998
560,RM11,0.4,1.3,31.700001,4.3,62.299999
743,RM11,1,1.1,47.099998,5.4,45.400002
746,RM11,0.1,6.5,43.200001,5.4,44.799999
757,RM11,0.3,0.7,39.400002,5,54.599998
1177,RM11,0.3,2.2,24.9,3.7,68.900002
1191,RM11,0.2,1.2,31.799999,5.1,61.700001
1219,RM11,0.4,1.7,33.599998,3.3,61
0,RM3,0.4,1.2,52.6,3,42.8
14,RM3,0.5,1.3,53.5,3.6,41.099998
98,RM3,0.4,1,32.900002,3.3,62.400002
101,RM3,0.5,2,49,5.9,42.599998
105,RM3,0.6,1.9,38.599998,3.9,55
112,RM3,0.5,1.6,38.299999,4.2,55.400002
560,RM3,0.4,1.8,48.099998,3.8,45.900002
743,RM3,5.3,1.7,19.700001,3.9,69.400002
746,RM3,0.3,1.5,45.400002,6.4,46.400002
757,RM3,0.4,1.5,43.599998,4.9,49.599998
1177,RM3,0.5,1.2,45.200001,3.6,49.5
1191,RM3,0.6,1.5,36.900002,4,57
1219,RM3,0.3,1.7,37.400002,3.2,57.400002
0,RM1,0.3,2.2,48.2,3.1,46.2
14,RM1,0.6,4.8,67.599998,4.3,22.700001
98,RM1,0.3,1.9,41.599998,3.6,52.599998
101,RM1,0.3,1.5,59.200001,6.2,32.799999
105,RM1,0.5,1.1,73.199997,5.8,19.4
112,RM1,0.3,1.8,61.700001,4.8,31.4
560,RM1,0.2,1.6,59,5.3,33.900002
743,RM1,0.5,1.5,38.400002,5.6,54
746,RM1,0.3,1.5,62.799999,7.7,27.700001
757,RM1,0.3,1,64.800003,5.9,28
1177,RM1,0.2,1.4,50.900002,4.1,43.400002
1191,RM1,0.4,1,51.700001,7.3,39.599998
1219,RM1,0.5,1.8,58.5,3.8,35.400002
0,RM6,0.4,0.5,26,2.6,70.5
14,RM6,0.3,0.9,25.5,3,70.300003
98,RM6,0.4,1.5,58.400002,6.4,33.299999
101,RM6,0.3,0.6,33.200001,3.6,62.299999
105,RM6,0.3,0.7,46.5,2.7,49.799999
112,RM6,0.5,0.8,46.099998,3.9,48.700001
560,RM6,0.5,1.5,45.599998,7.3,45.099998
742,RM6,0.6,1,10.1,6.8,81.5
745,RM6,0.1,0.7,23.1,5.1,71
756,RM6,0.3,1.1,46.400002,5,47.200001
1176,RM6,0.5,1.5,56.799999,2.6,38.599998
1190,RM6,0.3,1.1,50.5,4.4,43.700001
1218,RM6,0.2,1,53.099998,3.1,42.599998
0,RM5,0.3,0.8,19.5,4.2,75.199997
14,RM5,0.5,0.8,29.6,6.1,63
98,RM5,0.5,0.9,34.599998,7.3,56.700001
101,RM5,0.3,0.9,26.799999,5.6,66.400002
105,RM5,0.3,0.8,19.6,4.4,74.900002
112,RM5,0.4,0.8,38.299999,6.1,54.400002
560,RM5,0.7,1.1,52.400002,15.1,30.700001
742,RM5,0.5,1,15.8,9.9,72.800003
745,RM5,0.2,1.7,42.099998,7,49
756,RM5,0.4,1.3,59.200001,7.6,31.5
1176,RM5,12.7,7.7,46.400002,3.4,29.799999
1190,RM5,0.6,2,27.299999,5.2,64.900002
1218,RM5,0.2,2.6,35.400002,5.3,56.5
0,RM8,0.3,1.9,44.599998,4.2,49
14,RM8,0.4,0.9,41.200001,4.3,53.200001
98,RM8,0.4,0.6,59.099998,6.1,33.799999
101,RM8,0.3,1.1,43,5,50.599998
105,RM8,0.4,1.2,47.299999,5.1,46
112,RM8,0.5,0.8,43.200001,4.6,50.900002
560,RM8,0.4,1.3,50.599998,4.9,42.799999
742,RM8,0.4,1.8,34.200001,5.3,58.299999
