Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TB6Ag_D0_RM10,0,0.332986802,0.019748987,0,0.118174397,0.143249932,0.092109381,0,0,0,0.172142107,0,0.01434934,0,0,0.019868173,0.002780285,0.005314642,0,0,0.009569221,0.069706734,0,0.440478754,0.902648719
TB6Ag_D0_RM11,0.053641037,0.085611495,0.012649737,0.098885148,0.080546197,0.002481034,0.198487178,0,0,0,0.18336723,0,0.060293321,0.078289654,0,0,0,0,0,0.025024884,0,0.120723086,0,0.361903085,0.937942384
TB6Ag_D0_RM12,0.04722246,0.116886344,0.009883284,0.105346531,0.086033477,0.064815085,0.125920526,0,0,0,0.158209673,0,0.045996756,0.046797858,0,0.011881728,0,0,0,0.011657932,0,0.169348347,0,0.319673863,0.96271347
TB6Ag_D0_RM3,0.073275917,0.178800549,0.002974358,0.09745567,0.080156165,0.16102945,0.048736126,0,0,0,0.139342482,0,0.070997322,0.035629715,0,0.011930388,0,0,0,0,0,0.09967186,0,0.360712606,0.945784347
TB6Ag_D0_RM1,0.018302556,0.215569055,0.010116114,0.045554767,0.208308378,0.077593129,0.06752897,0,0,0,0.125967513,0,0.06461782,0.010154451,0,0.013951856,0,0.004415952,0,0,0,0.137919439,0,0.450243539,0.894212128
TB6Ag_D0_RM2,0.002290282,0.164591236,0.010013654,0.093188647,0.251003174,0.046571172,0.12975031,0,0,0,0.148347742,0,0.012091226,0.006298074,0,0.007073863,0,0.015757227,0,0,0,0.113023394,0,0.380683202,0.935737218
TB6Ag_D0_RM7,0,0.143261833,0.031677675,0.073999051,0.141695111,0.065601934,0.082259798,0,0,0,0.121438043,0,0.037276275,0.065591488,0,0,0,0,0,0,0,0.237198792,0,0.415391479,0.913803106
TB6Ag_D0_RM4,0,0.187019909,0.047800331,0.036990028,0.099076155,0,0.103186845,0,0,0,0.11105092,0,0.045098129,0.119200647,0,0,0,0,0,0,0,0.250577037,0,0.447559896,0.895320679
TB6Ag_D0_RM6,0,0.134724609,0.04599498,0.067642638,0.075687416,0.12113496,0.073708578,0,0,0,0.084752052,0,0.059913134,0.0282162,0,0,0,0,0.0016203,0,0,0.306605133,0,0.394648385,0.929624116
TB6Ag_D0_RM5,0.00278435,0.18304817,0.011372788,0.046449936,0.021729263,0.067239033,0.073482707,0,0,0,0.076427916,0,0.201624473,0.083043578,0,0.005606598,0,0,0,0.009591471,0,0.217599718,0,0.378426707,0.934741707
TB6Ag_D0_RM8,0.062604671,0.084901895,0.000857055,0.063324594,0.176632768,0.072027928,0.115491251,0,0,0,0.153436821,0,0.132523868,0.051013619,0,0.008843606,0,0,0,0.020297716,0,0.058044208,0,0.362137655,0.938391313
TB6Ag_D0_RM9,0.050776683,0.058244745,0.002340444,0.065766311,0.182082365,0.068265531,0.10092598,0,0,0,0.150398455,0,0.107512936,0.01239997,0,0.016317089,0,0.003691879,0,0,0,0.181277611,0,0.37747676,0.93437182
pp71_D0_RM20,0.068680718,0.097946971,0.008550152,0.029987986,0.150979957,0.093356325,0.127267948,0,0,0,0.160685948,0,0.15105198,0.010699948,0,0.016538876,0,0.000321747,0,0,0,0.083931444,0,0.409882542,0.914149388
pp71_D0_RM13,0.02989934,0.243902999,0,0.041000438,0.169263411,0.182183178,0.060021516,0,0,0,0.137104411,0,0.060831444,0.005798106,0,0.014054712,0,0.00095973,0,0.000277679,0,0.054703035,0,0.383103606,0.936868521
pp71_D0_RM14,0.023172193,0.171795471,0.006785613,0.02578843,0.051411406,0.095805079,0.034435567,0,0,0,0.086843596,0,0.074326381,0.107905505,0,0.02194332,0,0,0,0.028209546,0,0.271577894,0,0.380786371,0.9351547
pp71_D0_RM15,0.07475203,0.122201245,0.002261996,0.041432762,0.04865532,0.113310262,0.056987485,0,0,0,0.10645428,0,0.138632334,0.058097141,0,0.027673234,0,0,0,0.019923434,0,0.189618478,0,0.372665274,0.934753528
pp71_D0_RM16,0.062691137,0.107616172,0.013063055,0.071825691,0.305907528,0.048032929,0.066985711,0,0,0,0.129182665,0,0.068916318,0.010154675,0,0.008449723,0,0.002494652,0,0.015745783,0,0.088933962,0,0.343147392,0.956054185
pp71_D0_RM18,0.00773271,0.187393059,0.021726232,0.055447923,0.10891878,0.135722662,0.068751091,0,0,0,0.104635541,0,0.057906209,0.022877509,0,0.01220931,0,0.00065004,0.004179282,0,0,0.211849653,0,0.381314174,0.932674802
pp71_D0_RM19,0,0.068710342,0.004340821,0.046488842,0.057866167,0,0.078988929,0,0,0,0.07782909,0,0.065493213,0.12426071,0,0,0,0,0.01302324,0,0,0.462998647,0,0.494623455,0.885115301
pp71_D0_RM17,0,0.176268644,0.045902507,0.045912937,0.120653115,0.090717904,0.05809363,0,0,0,0.088529566,0,0.027692003,0.04639878,0,0,0,0,0.012939288,0,0,0.286891627,0,0.375046218,0.938978831
