Genes	YorN	X
G0001	0	1
G0002	0	1
G0003	0	1
G0004	0	1
G0005	0	1
G0006	0	1
G0007	0	1
G0008	0	1
G0009	0	1
G0010	0	1
G0011	0	1
G0012	0	1
G0013	0	1
G0014	0	1
G0015	0	1
G0016	0	1
G0017	0	1
G0018	0	1
G0019	0	1
G0020	0	1
G0021	0	1
G0022	0	1
G0023	0	1
G0024	0	1
G0025	0	1
G0026	0	1
G0027	0	1
G0028	0	1
G0029	0	1
G0030	0	1
G0031	0	1
G0032	0	1
G0033	0	1
G0034	0	1
G0035	0	1
G0036	0	1
G0037	0	1
G0038	0	1
G0039	0	1
G0040	0	1
G0041	0	1
G0042	0	1
G0043	0	1
G0044	0	1
G0045	0	1
G0046	0	1
G0047	0	1
G0048	0	1
G0049	0	1
G0050	0	1
G0051	0	1
G0052	0	1
G0053	0	1
G0054	0	1
G0055	0	1
G0056	0	1
G0057	0	1
G0058	0	1
G0059	0	1
G0060	0	1
G0061	0	1
G0062	0	1
G0063	0	1
G0064	0	1
G0065	0	1
G0066	0	1
G0067	0	1
G0068	0	1
G0069	0	1
G0070	0	1
G0071	0	1
G0072	0	1
G0073	0	1
G0074	0	1
G0075	0	1
G0076	0	1
G0077	0	1
G0078	0	1
G0079	0	1
G0080	0	1
G0081	0	1
G0082	1	1
G0083	0	1
G0084	0	1
G0085	0	1
G0086	0	1
G0087	0	1
G0088	0	1
G0089	0	1
G0090	0	1
G0091	0	1
G0092	0	1
G0093	0	1
G0094	0	1
G0095	0	1
G0096	0	1
G0097	0	1
G0098	0	1
G0099	0	1
G0100	0	1
G0101	0	1
G0102	0	1
G0103	0	1
G0104	0	1
G0105	0	1
G0106	1	1
G0107	0	1
G0108	0	1
G0109	0	1
G0110	0	1
G0111	0	1
G0112	0	1
G0113	0	1
G0114	0	1
G0115	0	1
G0116	0	1
G0117	0	1
G0118	0	1
G0119	0	1
G0120	0	1
G0121	0	1
G0122	0	1
G0123	0	1
G0124	0	1
G0125	0	1
G0126	0	1
G0127	0	1
G0128	0	1
G0129	0	1
G0130	0	1
G0131	0	1
G0132	0	1
G0133	0	1
G0134	0	1
G0135	0	1
G0136	0	1
G0137	0	1
G0138	0	1
G0139	0	1
G0140	1	1
G0141	0	1
G0142	0	1
G0143	0	1
G0144	0	1
G0145	0	1
G0146	0	1
G0147	1	1
G0148	0	1
G0149	0	1
G0150	0	1
G0151	0	1
G0152	0	1
G0153	0	1
G0154	0	1
G0155	0	1
G0156	0	1
G0157	1	1
G0158	0	1
G0159	0	1
G0160	0	1
G0161	0	1
G0162	0	1
G0163	0	1
G0164	0	1
G0165	0	1
G0166	0	1
G0167	0	1
G0168	0	1
G0169	0	1
G0170	0	1
G0171	0	1
G0172	0	1
G0173	0	1
G0174	1	1
G0175	1	1
G0176	1	1
G0177	1	1
G0178	1	1
G0179	0	1
G0180	0	1
G0181	0	1
G0182	0	1
G0183	0	1
G0184	0	1
G0185	0	1
G0186	0	1
G0187	0	1
G0188	0	1
G0189	0	1
G0190	0	1
G0191	0	1
G0192	0	1
G0193	0	1
G0194	0	1
G0195	0	1
G0196	0	1
G0197	0	1
G0198	0	1
G0199	0	1
G0200	0	1
G0201	0	1
G0202	0	1
G0203	0	1
G0204	0	1
G0205	0	1
G0206	0	1
G0207	0	1
G0208	0	1
G0209	0	1
G0210	0	1
G0211	0	1
G0212	0	1
G0213	0	1
G0214	0	1
G0215	0	1
G0216	0	1
G0217	0	1
G0218	0	1
G0219	0	1
G0220	0	1
G0221	0	1
G0222	0	1
G0223	0	1
G0224	0	1
G0225	0	1
G0226	0	1
G0227	0	1
G0228	0	1
G0229	0	1
G0230	0	1
G0231	0	1
G0232	0	1
G0233	0	1
G0234	0	1
G0235	0	1
G0236	0	1
G0237	0	1
G0238	0	1
G0239	0	1
G0240	0	1
G0241	0	1
G0242	0	1
G0243	0	1
G0244	0	1
G0245	0	1
G0246	0	1
G0247	0	1
G0248	0	1
G0249	0	1
G0250	0	1
G0251	0	1
G0252	0	1
G0253	0	1
G0254	0	1
G0255	0	1
G0256	0	1
G0257	0	1
G0258	0	1
G0259	0	1
G0260	0	1
G0261	0	1
G0262	0	1
G0263	0	1
G0264	0	1
G0265	0	1
G0266	0	1
G0267	0	1
G0268	0	1
G0269	0	1
G0270	0	1
G0271	0	1
G0272	0	1
G0273	0	1
G0274	0	1
G0275	0	1
G0276	0	1
G0277	0	1
G0278	0	1
G0279	0	1
G0280	0	1
G0281	0	1
G0282	0	1
G0283	0	1
G0284	0	1
G0285	0	1
G0286	0	1
G0287	0	1
G0288	0	1
G0289	0	1
G0290	0	1
G0291	0	1
G0292	0	1
G0293	0	1
G0294	0	1
G0295	0	1
G0296	0	1
G0297	0	1
G0298	0	1
G0299	0	1
G0300	0	1
G0301	0	1
G0302	0	1
G0303	0	1
G0304	0	1
G0305	0	1
G0306	0	1
G0307	0	1
G0308	0	1
G0309	0	1
G0310	0	1
G0311	0	1
G0312	0	1
G0313	0	1
G0314	0	1
G0315	0	1
G0316	0	1
G0317	0	1
G0318	0	1
G0319	0	1
G0320	0	1
G0321	0	1
G0322	0	1
G0323	0	1
G0324	0	1
G0325	0	1
G0326	0	1
G0327	0	1
G0328	0	1
G0329	0	1
G0330	0	1
G0331	0	1
G0332	0	1
G0333	0	1
G0334	0	1
G0335	0	1
G0336	0	1
G0337	0	1
G0338	0	1
G0339	0	1
G0340	0	1
G0341	0	1
G0342	0	1
G0343	0	1
G0344	0	1
G0345	0	1
G0346	0	1
G0347	0	1
G0348	0	1
G0349	0	1
G0350	0	1
G0351	0	1
G0352	0	1
G0353	0	1
G0354	0	1
G0355	0	1
G0356	0	1
G0357	1	1
G0358	0	1
G0359	0	1
G0360	0	1
G0361	0	1
G0362	0	1
G0363	0	1
G0364	0	1
G0365	0	1
G0366	0	1
G0367	0	1
G0368	0	1
G0369	0	1
G0370	0	1
G0371	0	1
G0372	0	1
G0373	0	1
G0374	0	1
G0375	0	1
G0376	0	1
G0377	0	1
G0378	0	1
G0379	0	1
G0380	0	1
G0381	0	1
G0382	0	1
G0383	0	1
G0384	0	1
G0385	0	1
G0386	0	1
G0387	0	1
G0388	0	1
G0389	0	1
G0390	0	1
G0391	0	1
G0392	0	1
G0393	0	1
G0394	0	1
G0395	0	1
G0396	0	1
G0397	0	1
G0398	0	1
G0399	0	1
G0400	0	1
G0401	0	1
G0402	0	1
G0403	0	1
G0404	0	1
G0405	0	1
G0406	0	1
G0407	0	1
G0408	0	1
G0409	0	1
G0410	0	1
G0411	0	1
G0412	0	1
G0413	1	1
G0414	0	1
G0415	0	1
G0416	0	1
G0417	0	1
G0418	0	1
G0419	0	1
G0420	0	1
G0421	0	1
G0422	0	1
G0423	0	1
G0424	0	1
G0425	0	1
G0426	0	1
G0427	0	1
G0428	0	1
G0429	0	1
G0430	0	1
G0431	0	1
G0432	0	1
G0433	0	1
G0434	0	1
G0435	0	1
G0436	0	1
G0437	0	1
G0438	0	1
G0439	0	1
G0440	0	1
G0441	0	1
G0442	0	1
G0443	0	1
G0444	0	1
G0445	0	1
G0446	0	1
G0447	0	1
G0448	0	1
G0449	0	1
G0450	0	1
G0451	0	1
G0452	0	1
G0453	0	1
G0454	0	1
G0455	0	1
G0456	0	1
G0457	0	1
G0458	0	1
G0459	0	1
G0460	0	1
G0461	0	1
G0462	0	1
G0463	0	1
G0464	0	1
G0465	0	1
G0466	0	1
G0467	0	1
G0468	0	1
G0469	0	1
G0470	0	1
G0471	0	1
G0472	0	1
G0473	0	1
G0474	0	1
G0475	0	1
G0476	0	1
G0477	0	1
G0478	0	1
G0479	0	1
G0480	0	1
G0481	0	1
G0482	0	1
G0483	0	1
G0484	0	1
G0485	0	1
G0486	0	1
G0487	0	1
G0488	0	1
G0489	0	1
G0490	0	1
G0491	0	1
G0492	0	1
G0493	0	1
G0494	0	1
G0495	0	1
G0496	0	1
G0497	0	1
G0498	0	1
G0499	0	1
G0500	0	1
G0501	0	1
G0502	0	1
G0503	0	1
G0504	0	1
G0505	0	1
G0506	0	1
G0507	0	1
G0508	0	1
G0509	0	1
G0510	0	1
G0511	0	1
G0512	0	1
G0513	0	1
G0514	0	1
G0515	0	1
G0516	0	1
G0517	0	1
G0518	0	1
G0519	0	1
G0520	0	1
G0521	0	1
G0522	0	1
G0523	0	1
G0524	0	1
G0525	0	1
G0526	0	1
G0527	0	1
G0528	0	1
G0529	0	1
G0530	0	1
G0531	0	1
G0532	0	1
G0533	0	1
G0534	0	1
G0535	0	1
G0536	0	1
G0537	0	1
G0538	0	1
G0539	0	1
G0540	0	1
G0541	0	1
G0542	0	1
G0543	0	1
G0544	0	1
G0545	0	1
G0546	0	1
G0547	0	1
G0548	0	1
G0549	0	1
G0550	0	1
G0551	0	1
G0552	0	1
G0553	0	1
G0554	0	1
G0555	0	1
G0556	0	1
G0557	0	1
G0558	0	1
G0559	0	1
G0560	0	1
G0561	0	1
G0562	0	1
G0563	0	1
G0564	0	1
G0565	0	1
G0566	0	1
G0567	0	1
G0568	0	1
G0569	0	1
G0570	0	1
G0571	0	1
G0572	0	1
G0573	0	1
G0574	1	1
G0575	0	1
G0576	0	1
G0577	1	1
G0578	0	1
G0579	0	1
G0580	0	1
G0581	0	1
G0582	0	1
G0583	0	1
G0584	0	1
G0585	0	1
G0586	0	1
G0587	0	1
G0588	0	1
G0589	0	1
G0590	0	1
G0591	0	1
G0592	0	1
G0593	0	1
G0594	0	1
G0595	1	1
G0596	0	1
G0597	0	1
G0598	0	1
G0599	0	1
G0600	0	1
G0601	0	1
G0602	0	1
G0603	0	1
G0604	0	1
G0605	0	1
G0606	0	1
G0607	0	1
G0608	0	1
G0609	0	1
G0610	0	1
G0611	0	1
G0612	0	1
G0613	0	1
G0614	0	1
G0615	0	1
G0616	0	1
G0617	0	1
G0618	0	1
G0619	0	1
G0620	0	1
G0621	0	1
G0622	0	1
G0623	0	1
G0624	0	1
G0625	0	1
G0626	0	1
G0627	0	1
G0628	0	1
G0629	0	1
G0630	0	1
G0631	0	1
G0632	0	1
G0633	1	1
G0634	0	1
G0635	0	1
G0636	0	1
G0637	0	1
G0638	0	1
G0639	0	1
G0640	0	1
G0641	0	1
G0642	0	1
G0643	0	1
G0644	0	1
G0645	1	1
G0646	0	1
G0647	0	1
G0648	0	1
G0649	0	1
G0650	0	1
G0651	0	1
G0652	0	1
G0653	1	1
G0654	0	1
G0655	0	1
G0656	0	1
G0657	0	1
G0658	0	1
G0659	0	1
G0660	0	1
G0661	0	1
G0662	0	1
G0663	0	1
G0664	1	1
G0665	0	1
G0666	0	1
G0667	0	1
G0668	0	1
G0669	0	1
G0670	0	1
G0671	0	1
G0672	0	1
G0673	0	1
G0674	0	1
G0675	0	1
G0676	0	1
G0677	0	1
G0678	0	1
G0679	0	1
G0680	0	1
G0681	0	1
G0682	0	1
G0683	0	1
G0684	1	1
G0685	0	1
G0686	0	1
G0687	0	1
G0688	0	1
G0689	0	1
G0690	0	1
G0691	0	1
G0692	0	1
G0693	1	1
G0694	0	1
G0695	0	1
G0696	0	1
G0697	0	1
G0698	0	1
G0699	0	1
G0700	0	1
G0701	0	1
G0702	0	1
G0703	0	1
G0704	1	1
G0705	1	1
G0706	0	1
G0707	0	1
G0708	1	1
G0709	0	1
G0710	1	1
G0711	0	1
G0712	0	1
G0713	0	1
G0714	0	1
G0715	0	1
G0716	0	1
G0717	0	1
G0718	1	1
G0719	0	1
G0720	0	1
G0721	0	1
G0722	0	1
G0723	0	1
G0724	0	1
G0725	0	1
G0726	0	1
G0727	0	1
G0728	0	1
G0729	0	1
G0730	0	1
G0731	1	1
G0732	0	1
G0733	0	1
G0734	0	1
G0735	1	1
G0736	1	1
G0737	0	1
G0738	1	1
G0739	0	1
G0740	0	1
G0741	0	1
G0742	0	1
G0743	0	1
G0744	1	1
G0745	0	1
G0746	0	1
G0747	0	1
G0748	0	1
G0749	0	1
G0750	0	1
G0751	1	1
G0752	0	1
G0753	0	1
G0754	0	1
G0755	0	1
G0756	0	1
G0757	0	1
G0758	0	1
G0759	0	1
G0760	0	1
G0761	0	1
G0762	0	1
G0763	0	1
G0764	0	1
G0765	0	1
G0766	0	1
G0767	0	1
G0768	0	1
G0769	0	1
G0770	0	1
G0771	0	1
G0772	0	1
G0773	0	1
G0774	0	1
G0775	0	1
G0776	0	1
G0777	0	1
G0778	0	1
G0779	0	1
G0780	0	1
G0781	0	1
G0782	0	1
G0783	1	1
G0784	0	1
G0785	1	1
G0786	1	1
G0787	1	1
G0788	1	1
G0789	1	1
G0790	1	1
G0791	1	1
G0792	0	1
G0793	0	1
G0794	0	1
G0795	0	1
G0796	0	1
G0797	0	1
G0798	1	1
G0799	0	1
G0800	1	1
G0801	0	1
G0802	0	1
G0803	0	1
G0804	0	1
G0805	0	1
G0806	0	1
G0807	0	1
G0808	0	1
G0809	0	1
G0810	0	1
G0811	0	1
G0812	0	1
G0813	0	1
G0814	0	1
G0815	0	1
G0816	0	1
G0817	0	1
G0818	0	1
G0819	0	1
G0820	0	1
G0821	0	1
G0822	0	1
G0823	0	1
G0824	0	1
G0825	0	1
G0826	0	1
G0827	0	1
G0828	1	1
G0829	0	1
G0830	0	1
G0831	0	1
G0832	0	1
G0833	0	1
G0834	0	1
G0835	0	1
G0836	0	1
G0837	0	1
G0838	0	1
G0839	0	1
G0840	0	1
G0841	0	1
G0842	0	1
G0843	0	1
G0844	0	1
G0845	0	1
G0846	1	1
G0847	0	1
G0848	0	1
G0849	0	1
G0850	0	1
G0851	0	1
G0852	0	1
G0853	0	1
G0854	0	1
G0855	0	1
G0856	0	1
G0857	1	1
G0858	0	1
G0859	0	1
G0860	0	1
G0861	1	1
G0862	0	1
G0863	0	1
G0864	0	1
G0865	1	1
G0866	0	1
G0867	0	1
G0868	0	1
G0869	0	1
G0870	0	1
G0871	0	1
G0872	0	1
G0873	0	1
G0874	0	1
G0875	0	1
G0876	0	1
G0877	0	1
G0878	0	1
G0879	0	1
G0880	0	1
G0881	0	1
G0882	0	1
G0883	0	1
G0884	1	1
G0885	1	1
G0886	1	1
G0887	0	1
G0888	0	1
G0889	0	1
G0890	0	1
G0891	0	1
G0892	0	1
G0893	1	1
G0894	0	1
G0895	0	1
G0896	0	1
G0897	0	1
G0898	0	1
G0899	0	1
G0900	0	1
G0901	0	1
G0902	0	1
G0903	0	1
G0904	0	1
G0905	0	1
G0906	0	1
G0907	0	1
G0908	0	1
G0909	0	1
G0910	0	1
G0911	1	1
G0912	0	1
G0913	0	1
G0914	0	1
G0915	0	1
G0916	0	1
G0917	0	1
G0918	0	1
G0919	0	1
G0920	0	1
G0921	0	1
G0922	0	1
G0923	0	1
G0924	0	1
G0925	0	1
G0926	0	1
G0927	0	1
G0928	0	1
G0929	0	1
G0930	0	1
G0931	0	1
G0932	0	1
G0933	0	1
G0934	0	1
G0935	0	1
G0936	0	1
G0937	0	1
G0938	0	1
G0939	0	1
G0940	0	1
G0941	1	1
G0942	0	1
G0943	0	1
G0944	0	1
G0945	0	1
G0946	0	1
G0947	0	1
G0948	0	1
G0949	0	1
G0950	0	1
G0951	0	1
G0952	0	1
G0953	0	1
G0954	0	1
G0955	0	1
G0956	0	1
G0957	0	1
G0958	0	1
G0959	0	1
G0960	0	1
G0961	0	1
G0962	0	1
G0963	0	1
G0964	0	1
G0965	0	1
G0966	0	1
G0967	0	1
