UpstreamRegulators,Abbre,Pvalue,Zscore
IFNG,T_3,9.671313695,4.679
STAT1,T_3,20.56352683,4.133
interferon alpha,T_3,16.34047256,3.892
IL21,T_3,6.328450385,2.715
IL18,T_3,2.97300241,1.513
IL2,T_3,1.525953586,2.044
TNF,T_3,4.634641497,3.332
TBX21,T_3,2.936922806,0
STING1,T_3,18.12075585,4.024
STAT3,T_3,16.22284859,-0.823
IL15,T_3,3.190340908,1.764
IFNG,T_7,3.026438701,1.567
STAT1,T_7,5.466396416,1.996
interferon alpha,T_7,4.075503188,2.877
IL21,T_7,7.763878669,2.531
IL18,T_7,8.311312324,0.93
IL2,T_7,7.801747516,2.001
TNF,T_7,4.522216623,-0.708
TBX21,T_7,8.421237666,2.025
STING1,T_7,3.743035106,0.711
STAT3,T_7,4.772817615,-0.883
IL15,T_7,6.30151577,1.423
IFNG,T_14,0,0
STAT1,T_14,0,0
interferon alpha,T_14,0,0
IL21,T_14,0,0
IL18,T_14,0,0
IL2,T_14,0,0
TNF,T_14,0,0
TBX21,T_14,0,0
STING1,T_14,0,0
STAT3,T_14,1.345701601,0
IL15,T_14,0,0
IFNG,T_98,0,0
STAT1,T_98,0,0
interferon alpha,T_98,0,0
IL21,T_98,0,0
IL18,T_98,0,0
IL2,T_98,0,0
TNF,T_98,0,0
TBX21,T_98,0,0
STING1,T_98,0,0
STAT3,T_98,1.724021428,0
IL15,T_98,1.338407149,0
IFNG,T_101,10.5429267,4.325
STAT1,T_101,16.78191837,3.429
interferon alpha,T_101,14.02237011,4.055
IL21,T_101,8.197224401,1.995
IL18,T_101,6.626057767,0.978
IL2,T_101,3.849166942,1.852
TNF,T_101,6.275944151,1.944
TBX21,T_101,6.04375405,1.206
STING1,T_101,13.01132573,3.083
STAT3,T_101,12.88985726,-2.289
IL15,T_101,4.973051483,0.998
IFNG,T_105,0,0
STAT1,T_105,1.861482128,1.982
interferon alpha,T_105,1.432472475,0
IL21,T_105,2.176185281,0
IL18,T_105,3.054055598,1.954
IL2,T_105,2.90331561,1.102
TNF,T_105,0,0
TBX21,T_105,5.255282692,0
STING1,T_105,0,0
STAT3,T_105,4.224329059,0.168
IL15,T_105,1.675041042,0
IFNG,T_112,0,0
STAT1,T_112,0,0
interferon alpha,T_112,0,0
IL21,T_112,0,0
IL18,T_112,0,0
IL2,T_112,0,0
TNF,T_112,0,0
TBX21,T_112,0,0
STING1,T_112,0,0
STAT3,T_112,0,0
IL15,T_112,0,0
IFNG,T_560,2.397216662,1.229
STAT1,T_560,0,0
interferon alpha,T_560,0,0
IL21,T_560,0,0
IL18,T_560,0,0
IL2,T_560,0,0
TNF,T_560,2.401099203,-1.107
TBX21,T_560,2.06250271,0
STING1,T_560,0,0
STAT3,T_560,0,0
IL15,T_560,0,0
IFNG,T_743,2.0264945,1.47
STAT1,T_743,0,0
interferon alpha,T_743,0,0
IL21,T_743,0,0
IL18,T_743,0,0
IL2,T_743,0,0
TNF,T_743,1.816081802,-0.516
TBX21,T_743,0,0
STING1,T_743,0,0
STAT3,T_743,1.866101804,-1.912
IL15,T_743,0,0
IFNG,T_746,7.744631448,3.89
STAT1,T_746,8.624440616,3.938
interferon alpha,T_746,5.977026421,2.927
IL21,T_746,4.728971634,2.149
IL18,T_746,3.547698985,2.036
IL2,T_746,2.430043589,1.274
TNF,T_746,4.416225155,1.185
TBX21,T_746,6.053251089,0.785
STING1,T_746,5.500043079,2.922
STAT3,T_746,7.203900396,-2.314
IL15,T_746,1.879885651,0.293
IFNG,T_750,4.335161807,0.936
STAT1,T_750,1.951473269,2.588
interferon alpha,T_750,3.048129786,1.633
IL21,T_750,7.260800017,2.014
IL18,T_750,5.831937014,2.427
IL2,T_750,8.302212179,1.74
TNF,T_750,3.971426783,-2.038
TBX21,T_750,10.36693787,2.456
STING1,T_750,1.370400718,1
STAT3,T_750,5.254507933,-0.233
IL15,T_750,3.727938941,1.84
IFNG,T_757,5.214121362,2.038
STAT1,T_757,1.997370875,2.588
interferon alpha,T_757,3.998181597,1.559
IL21,T_757,7.234750813,2.556
IL18,T_757,5.779992773,2.251
IL2,T_757,6.595206409,2.395
TNF,T_757,3.881520648,-0.121
TBX21,T_757,11.59241699,2.456
STING1,T_757,0,0
STAT3,T_757,4.886718671,-0.534
IL15,T_757,6.224731852,2.056
